Inventory ID,Title,Person responsible,Others involved,Required work,Target completion date,Program to follow-up with (SH/BCCH program responsible),External,Author(s) (or name of org. if no author),Date created,"Date of last update (©related to website that is linked, not necessarily the resource)",Link,Date Link Checked,Target Audience,File Format,Master Tag (Level 1),Level 2A,Level 3A,Level 4A,Level 2B,Level 3B,Level 4B,Level 2C,Level 3C,Level 4C,Description,Health condition,Area of Focus,Keywords (see tags tab for information),Learning Event?  (Y/N),Corresponding clinician/parent resource,Sibling resources e.g. next steps,Notes,Person recommending,Age,Location
871,Speech and Hearing BC,Claire,,,,,External,Speech and Hearing BC,,© 2021,https://speechandhearingbc.ca/#professional-map,"August 4, 2021","families, caregivers, clinicians",web link,,,,,,,,,,,Interactive map to find speech language pathologists and audiologists in BC,speech and hearing,speech,"speech-language pathologist, audiologist",N,,,,Marilyn N.  ,All,BC
872,Speech Therapy Database for Best Interventions and Treament - SpeechBITE (Australia),,,Check link,,Evidence Centre,External,,,,,,Clinicians,,,,,,,,,,,,,,,,N,,,,,,
873,Speech-Language and Audiology Canada,Claire,,,,,External,Speech-Language & Audiology Canada,,© 2021,https://www.sac-oac.ca/find-speech-language-pathologist-or-audiologist-service,"August 4, 2021","families, caregivers, clinicians",web link,,,,,,,,,,,Interactive map to find speech language pathologists and audiologists across Canada,speech and hearing,speech,"Speech-language pathologist, audiologist",N,,,,Marilyn N.  ,All,Canada-Wide
874,Spinal Cord Clinic: BC Children's Hospital,Maddy,,,,,Internal,BC Children's Hospital,,,http://www.bcchildrens.ca/our-services/clinics/spinal-cord,"September 21, 2021","families, caregivers, clinicians",web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,Assessment and Treatment Services,BC Children's Hospital and Sunny Hill Health Centre Services,,,,,,,The Spinal Cord Clinic (SCC) serves children from birth to the age of 18 who have a disorder of the spinal cord either due to genetic or traumatic causes,no specific diagnosis,,"spinal cord, Spina bifida, VACTERL syndrome,  trauma, infection, tumors of the spinal cord, infant, toddler, early years, school age, youth, BC Children's Hospital",N,,,,,All,BC and Yukon
875,Spinal Cord Injury BC,Claire,,,,,External,,,,Home – Spinal Cord Injury BC (sci-bc.ca),,,,,,,,,,,,,,,,,,,,,,,,
876,Spinal Cord Injury Outcome Measures Appraisals - SCIRE Website,Stephanie  ,,Link is active,,,External,,,,http://scireproject.com/outcome-measures/,,,Link,,,,,,,,,,,Database of measures,spinal cord  injury,,"outcome measures, clinical resources, guidelines",,,,,,,
877,Sportability: Find a Power Soccer program in BC,Debbie,,,,,External,Sportability BC,,,https://sportabilitybc.ca/power-soccer/,May 26-21,Families; Clinicians; (Educators),webpages,,,,,,,,,,,"Describes power soccer and provides program locator for BC. Website also has information on Boccia, Sledge Hockey/Para Ice Hockey and CP/Para Soccer","CP, SCI, SB, BI, neuromuscular disease, or others using a wheelchair","Healthy Living, Recreation, Participation, Sports","power wheelchair, sports, soccer, community programs",no,,,,Debbie,,
878,Sportability: Sports Equipment Loan,Debbie,,,,,External,Sportability BC,,,https://sportabilitybc.ca/equipment-loan/,May 26-21,Families; Clinicians; (Educators),webpages,,,,,,,,,,,Equipment loans available for members including power soccer guards and sledges for hockey,"CP, SCI, SB, BI, neuromuscular disease, or others using a wheelchair","Healthy Living, Recreation, Participation, Sports","equipment loan, soccer, sports, hockey, ",N,,,,Debbie,,
879,Spotlight BC Children's Hospital Emergency Department,,,,,,Internal,PHSACareers,,,https://www.youtube.com/watch?v=9_Cdq_GeLKE,"September 21, 2021","families, caregivers, clinicians",web link,,,,,,,,,,,"A look into the day to day operations of the Emergency Department at BC Children's Hospital, including interviews with staff members",no specific diagnosis,,"emergency department, video, BC Children's Hospital",N,,,,,All,
880,Standard Definition of FASD,Tanja,,,27-May-21,Complex Developmental Behavioural Conditions,External,CanFASD,?,2019,https://canfasd.ca/wp-content/uploads/2019/08/Toward-a-Standard-Definition-of-FASD-Final.pdf,April 28 2022,"Researchers, Clinicians, Families/caregivers, Decision makers",Non-fillable PDF,Assessment,Learn About Health Conditions,--,,,,,,,,Provides a standard definition for FASD,Fetal alcohol spectrum disorder,Other,"definition, FASD, fetal alcohol spectrum disorder",N,N,N,,Tanja,"N/A, All",canada
881,Standardized Assessments course handouts,Lex,,Update for currency. ,,,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,Standardized Assessments course objective and agenda,Lex,,Update for currency. ,,,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,Standardized assessments for paediatric therapists e-learning modules,Tanja,Lex/Kala,Update for currency. ,,,Internal,Alexis Davis,?,,,,,,,,,,,,,,,,,,,,,,,,,,
884,Standardized Assessments in Pediatric Rehabilitation: A primer,Tanja/ Debbie,Lex,Update for currency. ,Fall 2021,,Internal,Tanja M.  ,2007,2007,Include link to updated E4P when complete,,Clinicians,PDF,,,,,,,,,,,Summary of considerations on selecting and using a pediatric rehabilitation outcome measure,Varied,Varied,"Assessment, evaluate, discrimate, plan, predict, reliability, validity",N,N,N,,,,
885,Standardized Assessments Saved Search,Andrea R. ,,Update for currency. ,,,Internal – Evidence Centre,Andrea Ryce,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,Standards of Diagnostic Assessment for Autism Spectrum Disorder,Tanja,,Add,2-Jun-21,,External,"Canadian Pediatric Society: Jessica A. Brian, Lonnie Zwaigenbaum, Angie Ip; Canadian Paediatric Society, Autism Spectrum Disorder Guidelines Task Force",2019,2019,https://www.cps.ca/en/documents/position/asd-diagnostic-assessment,28-Apr-22,Clinicians,Non-fillable PDF,Assessment,Learn About Assessments,Other Assessment Resources,Assessment Pathways and Protocols,,,,,,,"provides community-based paediatric clinicians with recommendations, tools, and resources to perform or assist in the diagnostic evaluation of ASD",Autism,Varied,"assessment, diagnosis, autism, ASD, autism spectrum disorders",N,N,N,,Angie I.,All,canada
888,Statement of purpose & intended users,Kim,EC Team,Make more clear,,,Internal,,,,,,,,,,,,,,,,,,,,,,N,,,,,,
889,Staying Safe on Social Media: Office of the Privacy Commissioner of Canada,Claire,,,,,External,,August 2019,,https://www.priv.gc.ca/en/privacy-topics/technology/online-privacy-tracking-cookies/online-privacy/social-media/02_05_d_74_sn/,"June 30, 2021","families, caregivers, clinicians",web link,,,,,,,,,,,10 helpful tips to help you stay safe on social media,various disabilities,,"privacy policy, passwords, privacy settings, consent, fraud, theft, avoid, scams, log off, unused accounts, data, finding trustworthy information",N,,,,Kim,,
890,"Step 1: Introduction to Sighted Guide, Sighted Guide Techniques, Canadian National Institute for the Blind",Claire,,,,,External,Canadian National Institute for the Blind,"November 28, 2014",,https://www.youtube.com/watch?v=tl62s2MlKEw&list=PLpAOW00xNyybYZ7EmTk3nSvSNoPGK3r7E&index=2,6/21/2021,"families, caregivers, clinicians, educators",web link,,,,,,,,,,,"In this video, you’ll be introduced to the “sighted guide technique”, a safer and more comfortable way to guide someone who’s blind or partially sighted while walking","Vision impairment, vision loss, blindness, low vision, partially sighted",,"how to, travelling, sighted person",Y,,Y,,Jen E. ,All,
891,"Step 2: Basic Sighted Guide Techniques, Sighted Guide Techniques, Canadian National Institute for the Blind",Claire,,,,,External,Canadian National Institute for the Blind,"November 28, 2014",,https://www.youtube.com/watch?v=2-DEJOLIUoU&list=PLpAOW00xNyybYZ7EmTk3nSvSNoPGK3r7E&index=3,6/21/2021,"families, caregivers, clinicians, educators",web link,,,,,,,,,,,This video provides instruction on how to use basic sighted guide techniques and is the foundation for all of the other techniques you’ll learn in the rest of the videos in this playlist.,"Vision impairment, vision loss, blindness, low vision, partially sighted",,"how to, travelling, sighted person",Y,,Y,,Jen E. ,All,
892,"Step 3: Going Through Doors, Sighted Guide Techniques, Vision Loss Rehabilitation Canada (VLRC), Canadian National Institute for the Blind",Claire,,,,,External,Canadian National Institute for the Blind,,,https://www.youtube.com/watch?v=FpQ62A_l3qg,"June 21, 2021. ","families, caregivers, clinicians, educators",web link,,,,,,,,,,,Because there are many different types of doors this video provides a couple of different techniques and tips for dealing with them.,"Vision impairment, vision loss, blindness, low vision, partially sighted",,"how to, travelling, sighted person",Y,,Y,,Jen E. ,All,
893,"Step 4: Seating - Vision Loss Rehabilitation Canada (VLRC), Sighted Guide Techniques, Canadian National Institute for the Blind",Claire,,,,,External,Canadian National Institute for the Blind,,,https://www.youtube.com/watch?v=nTaBx_Fs27A,"June 21, 2021. ","families, caregivers, clinicians, educators",web link,,,,,,,,,,,"Learn the different techniques for guiding someone to a chair front , chair back or chair in rows, such as those found in theatres.","Vision impairment, vision loss, blindness, low vision, partially sighted",,"how to, travelling, sighted person",Y,,Y,,Jen E. ,All,
894,"Step by Step: Additional Guiding Tips- Vision Loss Rehabilitation Canada (VLRC), Sighted Guide Techniques, Canadian National Institute for the Blind",Claire,,,,,External,Canadian National Institute for the Blind,,,https://www.youtube.com/watch?v=Msuqes6Qpo8,"June 21, 2021. ","families, caregivers, clinicians, educators",web link,,,,,,,,,,,"This video will provide techniques for assisting someone who has a guide dog, as well as some of the ways of communicating and guiding someone who is deafblind","Vision impairment, vision loss, blindness, low vision, partially sighted",,"how to, travelling, sighted person",Y,,Y,,Jen E. ,All,
895,"Step by Step: Safety- Vision Loss Rehabilitation Canada (VLRC), Sighted Guide Techniques, Canadian National Institute for the Blind",Claire,,,,,External,Canadian National Institute for the Blind,,,https://www.youtube.com/watch?v=v_4g1VeYiHI,"June 21, 2021. ","families, caregivers, clinicians, educators",web link,,,,,,,,,,,This video demonstrates a universal emergency symbol for use with someone who is deafblind.,"Vision impairment, vision loss, blindness, low vision, partially sighted",,"how to, travelling, sighted person",Y,,Y,,Jen E. ,All,
896,Steps to Eating: Seattle Children's Hospital ,Steph,,,,,,,,,https://www.seattlechildrens.org/globalassets/documents/for-patients-and-families/pfe/pe2038.pdf,,,,,,,,,,,,,,,,,,,,,,Cathy C. ,,
897,Storynory,Debbie,,,,,External,Hugh Fraser,,,https://www.storynory.com/,June 7-21,"families, caregivers, clinicians, educators",webpages with links to audio stories,,,,,,,,,,,"compilation of over 600 freely available audio stories, including the author's own creations as well as fairytales, classics, myths, educational, factual, and world stories as well as poems, and music","anyone but particularly of use for those with vision, motor or communication  challenges","communication, learning, vision","assistive technology, augmentative and alternate communication (AAC), education, literacy, reading,  language development, audio books",N,,,,Debbie,,
898,StrokEngine Assessment Database,Stephanie  ,,Link is active,,,External,,,,https://strokengine.ca/,,,Link,,,,,,,,,,,Database of measures,stroke,,,,,,,,,
