"Only applicable to the Digital Team, Claire, Steph and Kim - Legend for rows 2 and 3: X = internal use only, ID = internal use AND column to be included in database created by the Digital Lab, E = external",,,,,,,,,"Allows us to identify objects that are duplicated in the database, and link Digital Lab-generated ID#s to the objects in this spreadsheet",These are the titles of the objects; can include terms in search filter; include on blade,This column lets us know what work needs to be done for the object to be web-ready ,"Part of algorthim prompting updates to content, so the appropriate person is alerted/contacted",Use for algorithm to prompt updates to objects. These would be back-up people to support updates,"only relevant when the object is not yet web-ready, or needs revisions (does not need to be part of database). ",internal use to allow us to track progress on updates to make objects web-ready,For new or not yet updated content: ,Include in algorithm to prompt updates so we know where to go  (i.e. the program is responsible for maintaining the object),Info to include on blade,Info to include on blade,Exclude from search terms; Content - include on blade,Exclude from search term; Content - include on blade,Exclude from search terms; Include on blade to allow users to access the external resource,For algorithm to prompt us to update object for currency,Primary toggle/filter,Advanced search/filter,,For internal use so the person uploading the resource knows what type of file format to save it in or look for to upload,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Content to include on blade; exclude from search terms,Filter,Filter,Search terms,Filter,Toggle for audience (clinician vs. family),Recommended for you' tag (algorithm for proposing new resources for the user to explore),For internal use in the database.,Used within algorithm to prompt updates to objects - directs us to the relevant content expert,Filter,This information can populate a field on the 'blades' for each object,This is the order of resources as of 2021Sep9. Delete this when it's not needed anymore,Thumbnail images for each object for users to see when browsing,Content - object 'rating' based on accessibility characteristics. Rating levels TBD. Could be on the blades or could be an icon on the thumbnail view (advise as to which is best approach),"Exclude from search terms; filter, could be part of advanced search; can include as info on blade",
June 23-21,,,,,,,,,666,"Paleg & Livingstone, 2015, Outcomes of gait trainer use in home and school settings for children with motor impairments: a systematic review",web-ready ,Debbie,,,,,,Sage publisher; SHHC author,Roslyn L. ,2015,,https://journals.sagepub.com/doi/abs/10.1177/0269215514565947,May 20-21,"clinicians, researchers","OT, PT, HCP students",peer-reviewed journal article,"webpage, pdf ",Intervention,,,,,,,,,,Intervention,peer-reviewed journal article describing systematic review of gait trainers outcomes for children with motor impairment,neuromotor disorders that result in difficulties standing and walking,"Gait Trainers; Mobility; Motor Skills, Development",outcomes; gait training; supportive walking; postural support; equipment; prescription; provision;environmental considerations;,N,,,,Debbie,,N/A,1040,,,all,
June 23-21,,,,,,,,,667,"Paleg & Livingstone, 2016, Evidence-informed clinical perspectives on selecting gait trainer features for children with cerebral palsy",web-ready ,Debbie,,,,,,MAGonline publisher; SHHC author,Roslyn L. ,2016,,https://www.magonlinelibrary.com/doi/abs/10.12968/ijtr.2016.23.9.444,May 20-21,"clinicians, researchers","OT, PT, HCP students",peer-reviewed journal article,"webpage, pdf ",Assessment,,,,,,,,,,Assessment,peer-reviewed journal article describing evidence and clinical considerations influencing the selection of gait trainer features for children with cerebral palsy and to describe gait trainer models.,neuromotor disorders that result in difficulties standing and walking,"Gait Trainers; Mobility; Motor Skills, Development",outcomes; gait training; supportive walking; postural support; equipment; prescription; provision;environmental considerations;,N,,,,Debbie,,N/A,1041,,,all,
June 23-21,,,,,,,,,667,"Paleg & Livingstone, 2016, Evidence-informed clinical perspectives on selecting gait trainer features for children with cerebral palsy",web-ready ,Debbie,,,,,,MAGonline publisher; SHHC author,Roslyn L. ,2016,,https://www.magonlinelibrary.com/doi/abs/10.12968/ijtr.2016.23.9.444,May 20-21,"clinicians, researchers","OT, PT, HCP students",peer-reviewed journal article,"webpage, pdf ",Intervention,,,,,,,,,,Intervention,peer-reviewed journal article describing evidence and clinical considerations influencing the selection of gait trainer features for children with cerebral palsy and to describe gait trainer models.,neuromotor disorders that result in difficulties standing and walking,"Gait Trainers; Mobility; Motor Skills, Development",outcomes; gait training; supportive walking; postural support; equipment; prescription; provision;environmental considerations;,N,,,,Debbie,,N/A,1042,,,all,
June 23-21,,,,,,,,,668,"Paleg, Huang, VasquezGabela,  Sprigle,  Livingstone, 2016, Comparison of the inertial properties and forces required to initiate movement for three gait trainers",web-ready ,Debbie,,,,,,Taylor and Francis publisher; SHHC author,Roslyn L. ,2016,,https://www.tandfonline.com/doi/abs/10.1080/10400435.2015.1123780,May 20-21,"clinicians, researchers","OT, PT, HCP students",peer-reviewed journal article,"webpage, pdf ",Assessment,,,,,,,,,,Assessment,peer-reviewed article that evaluates three commonly prescribed gait trainers and compares inertial properties and forces required to initiate movement on two different surfaces in a laboratory setting ,neuromotor disorders that result in difficulties standing and walking,Gait Trainers; Performance; Testing,measurement; outcomes; gait training; supportive walking; equipment; environmental considerations; ,N,,,,Debbie,,N/A,1043,,,all,
June 23-21,,,,,,,,,668,"Paleg, Huang, VasquezGabela,  Sprigle,  Livingstone, 2016, Comparison of the inertial properties and forces required to initiate movement for three gait trainers",web-ready ,Debbie,,,,,,Taylor and Francis publisher; SHHC author,Roslyn L. ,2016,,https://www.tandfonline.com/doi/abs/10.1080/10400435.2015.1123780,May 20-21,"clinicians, researchers","OT, PT, HCP students",peer-reviewed journal article,"webpage, pdf ",Intervention,,,,,,,,,,Intervention,peer-reviewed article that evaluates three commonly prescribed gait trainers and compares inertial properties and forces required to initiate movement on two different surfaces in a laboratory setting ,neuromotor disorders that result in difficulties standing and walking,Gait Trainers; Performance; Testing,measurement; outcomes; gait training; supportive walking; equipment; environmental considerations; ,N,,,,Debbie,,N/A,1044,,,all,
June 23-21,,,,,,,,,669,"Paleg, Romness, Livingstone, 2018, Interventions to improve sensory and motor outcomes for young children with central hypotonia: A systematic review",web-ready ,Debbie,,add description and link,,,,ISO Press publisher; SHHC author,Roslyn L. ,2018,,https://content.iospress.com/articles/journal-of-pediatric-rehabilitation-medicine/prm170507,May 20-21,"clinicians, researchers","OT, PT, HCP students",peer-reviewed journal article,"webpage, pdf ",Assessment,,,,,,,,,,Assessment,peer-reviewed journal article describing systematic review of sensory and motor outcomes for young children with hypotonia,young children with central hypotonia,"Sensory , Motor, Development",outcomes; therapy; treatment; environmental considerations; hypotonia,N,,,,Debbie,,N/A,1047,,,all,
June 23-21,,,,,,,,,669,"Paleg, Romness, Livingstone, 2018, Interventions to improve sensory and motor outcomes for young children with central hypotonia: A systematic review",web-ready ,Debbie,,add description and link,,,,ISO Press publisher; SHHC author,Roslyn L. ,2018,,https://content.iospress.com/articles/journal-of-pediatric-rehabilitation-medicine/prm170507,May 20-21,"clinicians, researchers","OT, PT, HCP students",peer-reviewed journal article,"webpage, pdf ",Intervention,,,,,,,,,,Intervention,peer-reviewed journal article describing systematic review of sensory and motor outcomes for young children with hypotonia,young children with central hypotonia,"Sensory , Motor, Development",outcomes; therapy; treatment; environmental considerations; hypotonia,N,,,,Debbie,,N/A,1048,,,all,
Vetting completed to criteria objectivity/conflict of interest,,,,,,,,,670,Palliative Care: Sunny Hill,Web-ready,Maddy,,,,,,"Internal, BC Children's Hospital",BC Children's Hospital ,,© 2021,http://www.bcchildrens.ca/our-services/support-services/palliative-care,04-Aug-21,"families, caregivers, clinicians, children/youth",All,Website/page,Web link,Community Supports and Services,,,,,,,,,,Community Supports and Services,Pediatric palliative care that focuses on enhancing quality of life for the child/young person and support for the family,,,palliative care,N,N,N,,,All,BC,334,,,Introductory,
Vetting completed to criteria objectivity/conflict of interest,,,,,,,,,671,Parachute,Web-ready,Anosha,,,,,,"External, Parachute",Parachute,2021,© 2021,https://www.parachute.ca/en/,"August 20,2021",All,All,Website/page,web link,community supports and services,,,,,,,,,,community supports and services,Information on preventing serious and fatal injuries through evidence-based solutions that advocate and educate.,,,"prevention, injury, safe, campaign, promote, programs, services, saving, research, donating, donate, fundraise, fundraising, evidence-based, data, stats",N,N,N,,,All,Not applicable,422,,,Introductory,
Vetting completed to criteria objectivity/conflict of interest (weblink not found),,,,,,,,,672,Parent & Youth in Residence Program,Web-ready,Anosha,,,,,,"External, Family Smart in BC",Parent and You in Residence,2021,,https://familysmart.ca/program/parent-youth-in-residence/,August 20,"families, caregivers, educators, health professionals, children/youth, researchers, support workers",all,Website/page,web link,community supports and services,,,,,,,,,,community supports and services,Parent in Residence and Youth in Residence are young people and families with lived experience in child and youth mental health. This page has information for them about different services and programs,various disabilities,mental health,"mental health, families, parents, youth, children, residence, programs, services, community, support, share, cope, strategies, techniques, substance use, challenges, ",N,N,N,,,All,BC,412,,,Introductory,
Vetting completed to criteria objectivity/conflict of interest. Talk to Kim about this.,,,,,,,,,673,Parent Project Muscular Dystrophy,Web-ready,Anosha,,,,,,"External, Parent Project Muscular Dystrophy",Parent Project Muscular Dystrophy,2021,,https://www.parentprojectmd.org/,"August 20,2021",All,All,Community program,web link,community supports and services,,,,,,,,,,community supports and services,"Information on the project dedicated to ending Duchenne by accelerating research, impacting policy, and demanding optimal care for every single family",Muscular Dystrophy,all,"project, fundrasing, donation, research, muscular, dystrophy, muscle weakness, community, group, support, involve, participate, therapies, advocacy, treatment, impact, ",N,N,N,,,All,United States,415,,,Introductory,
Vetting completed to criteria objectivity/conflict of interest. Talk to Kim about this.,Fom the US. What did we decide re: location?,,unknown,provide information and then offer training that you have pay for,,,,,674,Parenting a Child with ADHD,Web-ready,Maddy,N/A,,,,,"External, CHADD- Children and Adults with Attention-Deficit/ Hyperactivity Disorder",CHADD- Children and Adults with Attention-Deficit/ Hyperactivity Disorder,,© 2021,https://chadd.org/for-parents/overview/,"July 29, 2021","families, caregivers",All,Website/page,web link,Community supports & resources,,,,,,,,,,Community supports & resources,"Information on how to parent a child with ADHD, how to help your child succeed in school, make home life easier, and increase your child's confidence",ADHD,,"parenting, ADHD, school, home, diagnostic/health condition-specific resources",Y,N/A,N/A,,,All,Universal,63,,,N/A,
,,,,,,,,,675,"Parents' Rights, Kids' Rights: A Parent's Guide to Child Protection Law in BC",,Claire,,,,,,,,,,https://lss.bc.ca/publications/pub/parents-rights-kids-rights,,,,,,"Services, Supports and Community Resources",,,,,,,,,,"Services, Supports and Community Resources",,,,,,,,,Mandy Y. ,,,1373,,,,
Vetting completed to criteria objectivity/conflict of interest,,,unknown,,,,,,676,Parking Permits,Web-ready,Claire,N/A,,,,,"External, SPARC BC",SPARC BC,,© 2021,https://www.sparc.bc.ca/parking-permits/,"August 3, 2021","families, caregivers, children/youth, clinicians",All,Website/page,web link,Community supports & resources,,,,,,,,,,Community supports & resources,Application for parking permits,various disabilities,,"permanent, temporary, designated parking, application, apply, mobility limitations, replace, renew, travel",N,N/A,N/A,,,All,BC,73,,,N/A,
Sept 10-21,,,,,,,,,677,Participation and Environment Measure for Children and Youth (PEM-CY),Web-ready,Debbie,,,,,,external,,,,https://canchild.ca/en/shop/2-pem-cy-participation-and-environment-measure-children-and-youth,Sept 10-21,"clinicians, families",OT,Website/page,web link,Assessment,,,,,,,,,,Assessment,"evaluates participation in home, school, and in the community along with environmental factors within each of these settings that may influence participation.","various disabilities, typically developing","participation, environmental factors","home, school, community activities and resources, parent report, ",N,,,,Debbie,"Early Years, School Age, Youth",N/A,886,,,,
"Jun 22, 2021",,,,,,,,,678,Pathological Fractures May 2007 (PDF),Need to discuss if this is worth updating or not when time allows,Tanja,,Update; saved search; brief overview; tags,,,,Sunny Hill,"Tanja M.  , PT",,,,,Clinicians,"OT, PT, Nurse",,,,,,,,,,,,,,,,,,N,,,,,,N/A,939,,,E4P Synthesis,
Vetting completed to criteria objectivity/conflict of interest ,,,unsure,,,,,,679,Patient & Family Centred Care: BC Children's Hospital,Web-ready,Claire,,,,,,"Internal, BC Children's Hospital",BC Children's Hospital,,,Patient & Family Centred Care (bcchildrens.ca),"August 19, 2021","families, caregivers, clinicians",all,Website/page,web link,Community Supports and Services,,,,,,,,,,Community Supports and Services,Information about patient and family centred care at BC Children's Hospital,,,"patient and family centred care, BC Children's Hospital, health care, approach, central role, family, patient's life, family strengths, respect, choice, information sharing, support, flexibility, collaboration, empowerment, resources, Institute for Patient & Family Centered Care, Patient & Family Resource Centre",N,N,N,,Cynthia V. ,All,BC,397,,,,
Vetting completed to criteria objectivity/conflict of interest ,,,,,,,,,680,Patient and Family Education Development and Approval Standards,Web-ready,Anosha,,,,,,"Internal, Sunny Hill Health Centre",BC Children's Hospital,2007,,http://policyandorders.cw.bc.ca/resource-gallery/Documents/CW%20Campus%20Wide/C-0506-15-60074%20Patient%20and%20Family%20Education%20Development%20and%20Approval%20Standards%20Appendix%20A.pdf,,"clinicans, health care leaders, researchers, educators, policymakers ",All,Guideline,PDF,community supports and resources,,,,,,,,,,community supports and resources,Describes the standards for development of patient and family education resources,,,"patient, family education, resources, protocols, standard, development",N,N/A,N/A,,,All,BC,311,,,Beginner,
Jun-16-21,,,,,,,,,681,Patient Care Quality Office (PQCO),Web-ready,Maddy,N/A,,,,,"External, Patient Care Quality Office",Patient Care Quality Office,,,http://www.phsa.ca/about/accountability/patient-experience/compliments-complaints#Compliments,Jun-16-21,"families, caregivers, children/youth",All,Website/page,web link,Community Supports and Services,,,,,,,,,,Community Supports and Services,"Accepts feedback, both positive and negative, about the quality of care of PHSA's programs",,,"feedback, complaints, compliments, PHSA, quality of care, patients, quality improvement",N,N/A,N/A,,,,BC,297,,,,
