,,,,,,,,,"Allows us to identify objects that are duplicated in the database, and link Digital Lab-generated ID#s to the objects in this spreadsheet",These are the titles of the objects; can include terms in search filter; include on blade.,This column lets us know what work needs to be done for the object to be web-ready ,"Part of algorthim prompting updates to content, so the appropriate person is alerted/contacted",Use for algorithm to prompt updates to objects. These would be back-up people to support updates,"only relevant when the object is not yet web-ready, or needs revisions (does not need to be part of database). ",internal use to allow us to track progress on updates to make objects web-ready,For new or not yet updated content: ,Include in algorithm to prompt updates so we know where to go  (i.e. the program is responsible for maintaining the object),Info to include on blade,Info to include on blade,Exclude from search terms; For internal use only (no longer to appear on the blade),Exclude from search term; Content - include on blade,Exclude from search terms; Include on blade to allow users to access the external resource,For algorithm to prompt us to update object for currency,,"No longer using this tag, in order to simplify the user experience",This info appears on the blade but no longer being used as a filter in order to simplify the user experience,For internal use so the person uploading the resource knows what type of file format to save it in or look for to upload,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,For team to reference when tagging information hierarchy,Content to include on blade; exclude from search terms,Filter,Filter,Search terms,Filter,Toggle for audience (clinician vs. family),Recommended for you' tag (algorithm for proposing new resources for the user to explore),For internal use in the database.,Used within algorithm to prompt updates to objects - directs us to the relevant content expert,Filter,This information can populate a field on the 'blades' for each object,This is the order of resources as of 2021Sep9. Delete this when it's not needed anymore,Thumbnail images for each object for users to see when browsing,Content - object 'rating' based on accessibility characteristics. Rating levels TBD. Could be on the blades or could be an icon on the thumbnail view (advise as to which is best approach),"Exclude from search terms; filter, could be part of advanced search; can include as info on blade",
,,,,,,,,,842,Sensory Processing Measure Second Edition (SPM-2),Web-ready,Lex,"Tanja, Debbie",,,,,Internal – Evidence Centre,"L. Diane Parham, Cheryl L. Ecker, Heather Kuhaneck, Diana A. Henry, Tara J. Glennon",Tool 2021,,see Ax Info Card spreadsheet for associated links,"July 19, 2021",Clinicians,"OT, Psychology, counselors, social workers, SLP, PT, other professionals, all",Assessment Info Card,Ax Toolkit entry,Assessment,Learn About Assessments,Assessment Toolkit,,,,,,,,"Assessment, Diagnosis & Monitoring","assesses sensory processing, praxis and participation in multiple environments. Second edition includes Infant/Toddler, Preschool, Child, Adolescent and Adult age levels.",All,"Vision, hearing, touch, other senses, Behaviour, emotion, social skills, Learning, education, Play, recreation, physical activity, Personal care, home routines","sensory integration, perception, environment, Touch, Taste, Smell, Visual, Auditory, sensitivity, avoidance",N,N,N/A,,,All,N/A,664,,,original sources,
,,,,,,,,,844,Sensory Profile 2 (SP-2) ,Web-ready,Lex,"Tanja, Debbie",,,,,Internal – Evidence Centre,Winnie Dunn,Tool 2014,,see Ax Info Card spreadsheet for associated links,"July 28, 2021",Clinicians,"OT, Psychology",Assessment Info Card,Ax Toolkit entry,Assessment,Learn About Assessments,Assessment Toolkit,,,,,,,,"Assessment, Diagnosis & Monitoring","evaluates sensory processing patterns in the context of home, school, and community-based activities. Includes infant, toddler, child, short (child) and school companion forms. ",All,"Vision, hearing, touch, other senses, Behaviour, emotion, social skills, Personal care, home routines, Play, recreation, physical activity, Learning, education","sensory processing, perception, environment, Touch, Taste, Smell, Visual, Auditory, sensitivity, avoidance",N,N,N/A,,,"Infant/Toddler, Early Years, School Age",N/A,666,,,original sources,
June 23-21,,,,,,,,,846,Services for Children with Assistive Technology Needs,web-ready- info should be integrated into online team description,Debbie,,info needs to be integrated into online team description,,,,Internal,Assistive Technology Team,,,document currently located in\CDR Redesign 2019\3_Clinician Portal\3_Content by Clinical Program\6_Neuromotor Content\PMT&ATT Content\documents from ATT\BCCH1613_AssistiveTechnologyTeam,,"Families, Caregivers, Clinicians",all,pdf,pdf,,,,,,,,,,,Intervention,online brochure describing Neuromotor Program Assistive Technology Team services,"those benefiting from assistive technology interventions for communication, learning, mobility, play and/or control of their environment",Assistive Device Use; Communication; Learning; Play;,"communication aids,augmentative and alternate communication (AAC), language; literacy; assistive technology; wheelchair; mobility; equipment; function, switches, tablets, assessment; evaluation; prescription; computers, mobile technology, environmental control, mounting,",N,,,,Debbie,,N/A,1297,,,all,
June 23-21,,,,,,,,,846,Services for Children with Assistive Technology Needs,web-ready- info should be integrated into online team description,Debbie,,info needs to be integrated into online team description,,,,Internal,Assistive Technology Team,,,document currently located in\CDR Redesign 2019\3_Clinician Portal\3_Content by Clinical Program\6_Neuromotor Content\PMT&ATT Content\documents from ATT\BCCH1613_AssistiveTechnologyTeam,,"Families, Caregivers, Clinicians",all,pdf,pdf,,,,,,,,,,,Assessment,online brochure describing Neuromotor Program Assistive Technology Team services,"those benefiting from assistive technology interventions for communication, learning, mobility, play and/or control of their environment",Assistive Device Use; Communication; Learning; Play;,"communication aids,augmentative and alternate communication (AAC), language; literacy; assistive technology; wheelchair; mobility; equipment; function, switches, tablets, assessment; evaluation; prescription; computers, mobile technology, environmental control, mounting,",N,,,,Debbie,,N/A,1298,,,all,
June 23-21,,,not sure when created but needs updating,,,,,,847,Services for Children with Positioning and Mobility Needs,needs updating,Debbie,,Update title to Positioning Mobility Team. Description currently located on web under BCCH services but its very difficult to find (most team members had never seen it); description needs updating,,,,Internal,Positioning Mobility Team,,,http://www.bcchildrens.ca/our-services/sunny-hill-health-centre/our-services/positioning-mobility,,"Families, Caregivers, Clinicians",all,webpage,webpage,,,,,,,,,,,Intervention,description of Neuromotor Program Positioning Mobility Team services,"those benefiting from seating, positioning and/or mobility interventions for learning, mobility, play and/or control of their environment",Assistive Device Use; Postural Control; Mobility,"sitting, standing, lying posture, postural supports, mobility devices, wheelchair, walking aids, standing aids, assessment; evaluation; prescription;",N,,,Current seatingandmobility.ca topic/webpage: Clinical Resources Seating Programs/Services,Debbie,,N/A,1305,,,all,
June 23-21,,,not sure when created but needs updating,,,,,,847,Services for Children with Positioning and Mobility Needs,needs updating,Debbie,,Update title to Positioning Mobility Team. Description currently located on web under BCCH services but its very difficult to find (most team members had never seen it); description needs updating,,,,Internal,Positioning Mobility Team,,,http://www.bcchildrens.ca/our-services/sunny-hill-health-centre/our-services/positioning-mobility,,"Families, Caregivers, Clinicians",all,webpage,webpage,,,,,,,,,,,Assessment,description of Neuromotor Program Positioning Mobility Team services,"those benefiting from seating, positioning and/or mobility interventions for learning, mobility, play and/or control of their environment",Assistive Device Use; Postural Control; Mobility,"sitting, standing, lying posture, postural supports, mobility devices, wheelchair, walking aids, standing aids, assessment; evaluation; prescription;",N,,,Current seatingandmobility.ca topic/webpage: Clinical Resources Seating Programs/Services,Debbie,,N/A,1306,,,all,
"Vetting completed to criteria objectivity/conflict of interest. Ask Kim re: should we take out (as FindSupport BC includes information about counselling services)? If no (we want to keep it), contact ruthu@deltassist.com to inquire about programs they are currently offering. Maddy- look at the email that Claire forwarded you on November 10, 2021 from Scott Hildebrandt  ",,,,,,,,,848,Services for Families (Referred by MCFD): Deltassist,Screening,Maddy,,,,,,External,,,,https://deltassist.com/counselling/services-for-families-referred-by-mcfd,,,,,,,,,,,,,,,,,,,,,,,,,,,,517,,,,
Vetting completed to criteria objectivity/conflict of interest,,,unsure,,,,,,849,Services for Families: BC Family Hearing Resource Society,Web-ready,Claire,,,,,,External,BC Family Hearing Resource Society,,,http://www.bcfamilyhearing.com/families/services-for-families/,"August 9, 2021","families, caregivers, clinicians",all,Program,web link,,,,,,,,,,,"Community Supports and Services, Intervention",Information about the Services for Families,"deaf, hard-of-hearing",,"intervention services, deaf and hard-of-hearing role models, family support, individualized, meaningful, intervention, support, programs, Surrey, Vancouver, Victoria, Home-Based, Centre-Based intervention, individual sign language services, Access to and support from Family Support Parents, Deaf and Hard-of-Hearing mentorship, Consultation to preschools and daycares, Consultation and collaboration with Community Service Providers and other professionals, Access to our supported educational platform: The Learning Place, Support and education to parents, caregivers and family members, 
Support, assistance and education, regarding the use of listening devices (hearing aids, cochlear implants, bone-anchored hearing aids), Access to current research, information and educational materials",N,N,N,,,"Infant/Toddler, Early Years",BC,356,,,,
Vetting completed to criteria objectivity/conflict of interest,,,unsure,,,,,,850,Services for people with disabilities,web ready,Claire,N/A,,,,,External,Government of British Columbia,,,https://www2.gov.bc.ca/gov/content/family-social-supports/services-for-people-with-disabilities,"May 24th, 2021","Children/youth, families, caregivers, clinicians, educators",All,Website/page,web link,,,,,,,,,,,Community supports & resource,"Information about programs and services for people with disabilities including supports and services, transition planning, and disability assistance",,,"navigating the health care system, supports and services, transition  planning, youth, young adults, disability assistance, funding",N,N/A,N/A,,,All,BC,133,,,N/A,
June 23-21,,,,Joy is an expert education consultant who shares her expertise in freely-available materials that are referenced widely,,,,,851,SETT Framework,web-ready,Debbie,,,,,,External,Joy Zabala,,,https://joyzabala.com/Home.php,June 7-21,"clinicians, educators, families, caregivers","SLP, OT, psychologist, Dr,  recreation therapist, HCP students",website,"webpages, weblinks, pdfs, ",,,,,,,,,,,Intervention,"SETT (Student, Environments, Tasks, and Tools) Framework is a four part model intended to promote collaborative decision-making in all phases of assistive technology service design and delivery from consideration through implementation and evaluation of effectiveness.  ",various disabilities,"assistive device use, communication, learning, ","assistive technology, augmentative and alternate communication (AAC),  education, SETT Framework",N,,,,Debbie,,N/A,1236,,,all,
June 23-21,,,,Joy is an expert education consultant who shares her expertise in freely-available materials that are referenced widely,,,,,851,SETT Framework,web-ready,Debbie,,,,,,External,Joy Zabala,,,https://joyzabala.com/Home.php,June 7-21,"clinicians, educators, families, caregivers","SLP, OT, psychologist, Dr,  recreation therapist, HCP students",website,"webpages, weblinks, pdfs, ",,,,,,,,,,,Assessment,"SETT (Student, Environments, Tasks, and Tools) Framework is a four part model intended to promote collaborative decision-making in all phases of assistive technology service design and delivery from consideration through implementation and evaluation of effectiveness.  ",various disabilities,"assistive device use, communication, learning, ","assistive technology, augmentative and alternate communication (AAC),  education, SETT Framework",N,,,,Debbie,,N/A,1237,,,all,
Jun-16-21,,,,,,,Y,,852,Sibling Support Project,Web-ready,Maddy,N/A,,,,,External,Sibling Support Project,,,https://siblingsupport.org/,Jun-16-21,"families, caregivers, children/youth, clinicians",All,Website/page,web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,Supports for Families,Child/Youth Support Groups,,,,,,,Community Supports and Services,Peer support groups for siblings of children with disabilities and health concerns,,,"siblings, disabilities, peer support",N,N/A,N/A,,,,Universal,296,,,,
"Follow-up re: are we including workshops. If so, do we want to include this?",,,,,,,,,853,Events: Sibling Support Project ,Web-ready,Claire,N/A,,,,,External,Sibling Support,, © 2000-2021,https://siblingsupport.org/events/,"September 7, 2021","families, caregivers, clinicians, educators",All,Workshop,Web link,,,,,,,,,,,"Services, Supports, and Community Resources","Resources, workshops, training and peer support group for siblings of children with special health, devlopmental, and mental health concerns",various disabilities,mental health, ,Y,N/A,N/A,,Leslie L.,N/A,Universal,588,,,N/A,
June 23-21,,,,valuable measurement tool resources hosted on commercial website,,,,,854,"Simple Stuff Works Video Series on Positioning, Seating, plus the Goldsmith Indices of Body Symmetry ",web-ready,Debbie,,,,,,External,Simple Stuff Works,2018,,https://www.youtube.com/channel/UCJKeD00uyRGKQFqcXEOClsA/videos,May 28-21,"clinicians, researchers","OT, PT  HCP students",Video or audio,video,Making Treatment Choices,"Learn About Treatment, Care and Activities","Function, Activity and 'How To' Resources",,Learn About Health Conditions,,,Access Training on Treatment and Care,"Webinars, Presentations, Blogs, and Podcasts",,Assessment,"videos that describe impacts of being in one body position (lying, sitting) for an extended period, introduce postural care, positioning, and seating concepts, plus the Goldsmith Indices of Body Symmetry","Cerebral palsy , Brain injury, concussion, Neuromuscular, genetic and rare conditions, Developmental delay , Spinal cord injury, spina bifida","Positioning, mobility, lower body, Bone, muscle, skin health, Personal care, home routines, Assistive technology"," body alignment, positioning, measurement, evaluation, goal-setting, Lying, Posture; Positioning; Outcome Measurement,",Y,,,,Debbie,,N/A,802,,,all,
June 23-21,,,,,,,,,855,"Skin and Wound Care Resources, CL'ck - Connecting Learners with Knowledge (BC)",Web-ready,Debbie F. ,,,,,,External,"Skin and Wound Care Community of Practice, supported by the British Columbia Provincial Nursing Skin & Wound Care Committee",,,https://www.clwk.ca/communities-of-practice/skin-wound-community-of-practice/,May 28-21,Clinicians,all,online community of practice,"webpages, weblinks, pdfs, videos, elearning modules",,,,,,,,,,,Intervention,"online community of practice for wound care prevention and treatment. Compilation of resources includes online learning modules, decision-support tools, product information sheets, educational competencies, documentation, ",all,Skin Health; Pressure Injury Prevention and Management; Sitting Posture; Lying Posture; Wheelchair Use; Beds and mattresses,"pressure sore; pressure ulcer; wounds; seating; positioning;  cushions; equipment; prescription; healing;  goal-setting; risk assessment, nutrition",Y,,,,Debbie,,N/A,933,,,all,
June 23-21,,,,,,,,,855,"Skin and Wound Care Resources, CL'ck - Connecting Learners with Knowledge (BC)",Web-ready,Debbie F. ,,,,,,External,"Skin and Wound Care Community of Practice, supported by the British Columbia Provincial Nursing Skin & Wound Care Committee",,,https://www.clwk.ca/communities-of-practice/skin-wound-community-of-practice/,May 28-21,Clinicians,all,online community of practice,"webpages, weblinks, pdfs, videos, elearning modules",,,,,,,,,,,Assessment,"online community of practice for wound care prevention and treatment. Compilation of resources includes online learning modules, decision-support tools, product information sheets, educational competencies, documentation, ",all,Skin Health; Pressure Injury Prevention and Management; Sitting Posture; Lying Posture; Wheelchair Use; Beds and mattresses,"pressure sore; pressure ulcer; wounds; seating; positioning;  cushions; equipment; prescription; healing;  goal-setting; risk assessment, nutrition",Y,,,,Debbie,,N/A,934,,,all,
